Number,Name,Address,Latitude,Longitude
2010,02010 - CONFLUENCE DARSE,ANGLE ALEE ANDRE MURE ET QUAI ANTOINE RIBOUD,45.743317,4.815747
5015,5015 - FULCHIRON,Devant le n°41 rue de la Quarantaine,45.75197,4.821662
7035,7035 - MARSEILLE / UNIVERSITÉ (FAR),Angle rue de Marseille,45.750945,4.83927
10120,10120 - SALENGRO / DESCARTES,,45.775950500262574,4.871434214976276
5016,5016 - MAIRIE DU 5°,Devant la mairie du 5°,45.757581,4.801023
9013,9013 - QUAI PAUL SÉDALLIAN,Angle rue de la Navigation,45.787522,4.814418
6041,6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD,,45.78458,4.859664
10005,10005 - BOULEVARD DU 11 NOVEMBRE,Face Entrée du Parc de la Tête d'Or,45.779702,4.860029
4012,4012 - PLACE ADRIEN GODIEN,Angle montée de la Boucle,45.779186,4.840917
3009,3009 - MUSEE AFRICAIN,,45.750251,4.857919
10122,10122 - VERDUN / DESGRAND,,45.784023,4.897102
10091,10091 - CHÂTEAU GAILLARD / FORT,,45.774754,4.887977
10113,10113 - GARE DE VILLEURBANNE,,45.755768,4.891542
4023,4023 - PONT MAZARYK,Face au 45 quai Gillet,45.777961,4.810523
3066,3066 - KIMMERLING / FAURE,,45.754296,4.86359
7008,7008 - JEAN JAURÈS / GUILLOTIÈRE,Avenue Jean Jaurès - Angle rue de la Guillotière,45.75251,4.846278
2023,2023 -  HUGO / STE HÉLÈNE,Entre rue Victor Hugo et rue d'Auvergne,45.754688,4.829927
8061,8061 - STADE VUILLERMET,,45.725403,4.881292
2013,2013 - CÉLESTINS,Côté nord de la place, vers l'ascenseur,45.759932,4.832111
10119,10119 - VILLEURBANNE SAINT JEAN,,45.780422,4.904505
7053,7053 - JAURÈS / THIBAUDIÈRE,,45.750344,4.845048
3012,3012 - PLACE DU CHÂTEAU,A côté de l'église,45.749565,4.887311
4009,4009 - JACQUARD / DENFERT-ROCHEREAU,Rue Denfert-Rochereau / Angle rue Jacquart,45.77591,4.825394
10089,10089 - COLIN / OTTAVI,Rue Colin - Angle rue Ottavi,45.773057,4.874137
3037,3037 - PAUL BERT / GARIBALDI,Rue Paul Bert,45.757112,4.853405
8035,8035 - SANS SOUCI,,45.747251,4.865386
6035,6035 - CITÉ INTERNATIONALE,Face parvis du palais des congrès,45.785456,4.854085
9020,9020 - BOURBONNAIS,Angle rue Horand / rue Masset,45.773468,4.800286
2016,2016 - PLACE REGAUD,Angle rue Tupin / rue Herriot,45.763065,4.83425
5029,5029 - PLACE GERSON,Prox. Quai Pierre Scize,45.767057,4.827014
10079,10079 - ANATOLE FRANCE / BARBUSSE,Rue Anatole France/Angle av Barbusse,45.768127,4.879096
7009,7009 - JEAN JAURÈS,174–180 Avenue Jean Jaurès 69007 Lyon,45.737503,4.837484
7045,7045 - PARC DES BERGES,,45.737745,4.824495
10018,10018 - TOLSTOÏ / FLORIAN,Rue Florian/Angle Cours Tolstoï,45.761801,4.880735
10021,10021- GRANDCLÉMENT,Angle cours Tolstoï,45.759743,4.889938
6044,6044 - CHARMETTES / BELLECOMBE,,45.766372,4.865058
3008,3008 - INSTITUT LUMIERE,,45.745828,4.870631
2036,2036 - PLACE GOURJU,,45.759494,4.830161
6032,6032 - PRÉFECTURE / SARRAIL,Angle rue Vauban,45.764821,4.841567
8008,8008 - BEAUVISAGE / PRESSENSÉ,Rue du Professeur Beauvisage,45.727881,4.86355
5006,5006 - QUAI ROMAIN ROLLAND,Face ancien Palais de Justice,45.7620452080746,4.82872732991442
10014,10014 - GARE L. BONNEVAY,,45.765214,4.909808
1013,1013 - MARTINIÈRE,Rue de la Martinière,45.768223,4.827533
9010,9010 - PISCINE DE VAISE,,45.771034,4.79644
3058,3058 - PLACE DU LAC,Face à la poste,45.758974,4.853599
6004,6004 - FOCH (FAR),Angle rue Vendôme,45.768896,4.844845
10028,10028 - ECOLE DE MUSIQUE,Cours de la République/Angle Anatole France,45.767467,4.874032
10011,10011 - GRATTE CIEL,,45.769226,4.880491
7038,7038 - PLACE STALINGRAD,Angle Rue de la Guillotiere,45.749622,4.85299
4025,4025 - CHAZIÈRE,,45.775425,4.817888
10111,10111 - CHARLES HERNU,,45.770309,4.86196
5040,5040 - PLACE CRÉPU,,45.757847,4.826103
7024,7024 - BANCEL / CHEVREUL,,45.748504,4.840505
8029,8029 - ETATS UNIS LEVIGNE,,45.732366,4.865101
4004,4004 - HÉNON,Angle rue Hénon,45.779786,4.827635
